Courant,Temperature
13.43,21.87
13.41,20.50
13.41,21.76
13.41,21.87
13.41,21.76
13.38,21.76
13.38,21.24
13.33,20.82
13.35,20.82
13.41,20.71
13.41,20.92
13.38,20.71
13.38,21.97
13.38,20.29
13.38,19.97
13.41,20.71
13.41,20.92
13.38,20.71
13.41,20.82
13.41,20.92
13.33,20.71
13.41,21.03
13.41,20.50
13.33,19.75
13.41,20.92
13.41,21.03
13.41,20.92
13.41,21.87
13.41,20.18
13.43,22.39
13.38,22.39
13.46,22.90
13.43,24.83
13.43,26.53
13.38,27.91
13.43,28.89
13.41,29.66
13.41,30.15
13.46,30.44
13.43,30.53
13.43,30.44
13.41,30.34
13.33,30.24
13.51,30.05
13.41,29.86
13.33,29.86
13.43,29.76
13.41,29.66
13.41,29.66
13.46,29.28
13.46,29.37
13.41,29.37
13.41,29.18
13.38,29.08
13.41,29.08
13.41,28.89
13.43,28.79
13.41,28.79
13.41,28.69
13.41,28.59
13.38,28.40
13.33,28.30
13.30,28.40
13.41,28.30
13.43,28.20
13.41,28.20
13.43,28.01
13.41,28.01
13.41,27.91
13.51,27.81
13.41,27.81
13.41,27.81
13.38,27.62
13.51,27.52
13.41,27.52
13.46,27.22
13.46,27.42
13.35,27.22
13.46,27.22
13.38,27.22
13.41,27.12
13.46,27.22
13.38,27.02
13.51,27.02
13.41,27.02
13.35,26.83
13.38,26.83
13.41,26.83
13.38,26.63
13.41,26.63
13.41,26.63
13.43,26.53
13.41,26.43
13.46,26.33
13.46,26.33
13.41,26.33
13.33,26.13
13.51,26.23
13.41,26.23
13.41,25.93
13.46,26.03
13.12,25.93
13.49,25.93
13.43,25.93
13.35,25.74
13.35,25.74
13.41,25.83
13.38,25.83
13.38,25.64
13.38,25.64
13.41,25.54
13.41,25.64
13.35,25.54
13.41,25.54
13.41,25.54
13.38,25.44
13.30,25.34
13.38,25.34
13.41,25.13
13.41,25.34
13.38,25.13
13.35,25.13
13.46,25.13
13.41,25.13
13.04,25.03
13.35,25.03
13.41,25.13
13.41,24.83
13.38,24.73
13.38,24.93
13.41,25.03
13.38,24.83
13.33,24.93
13.41,24.93
13.30,24.73
13.43,24.73
13.41,24.73
13.38,24.73
13.38,24.43
13.46,24.63
13.41,24.63
13.30,24.63
13.35,24.63
13.28,24.53
13.43,24.63
13.41,24.63
13.30,24.43
13.43,24.43
13.38,24.43
13.41,24.43
13.38,24.33
13.33,24.33
13.38,24.33
13.14,24.23
13.38,24.43
13.38,24.13
13.22,24.13
13.41,24.13
13.41,24.13
13.38,24.13
13.49,24.13
13.41,24.23
13.38,24.23
13.35,24.02
13.38,24.02
13.38,24.02
13.38,24.02
13.38,24.02
13.41,24.02
13.38,23.92
13.38,23.92
13.41,23.92
13.38,23.92
13.41,23.92
13.43,23.92
13.38,24.02
13.43,23.92
13.41,23.82
13.38,23.92
13.41,23.72
13.43,23.82
13.33,23.82
13.35,23.82
13.01,23.72
13.38,23.82
13.41,23.72
13.33,23.62
13.51,23.72
13.38,23.82
13.46,23.72
13.41,23.52
13.33,23.62
13.41,23.72
13.38,23.72
13.38,23.82
13.43,23.72
13.51,23.62
13.38,23.72
13.38,23.62
13.30,23.62
13.41,22.90
13.38,23.21
13.38,23.11
13.33,23.11
13.38,23.11
13.41,23.11
13.33,23.11
13.41,23.11
13.38,23.00
13.38,24.43
13.41,26.13
13.41,27.62
13.46,28.50
13.25,29.57
13.41,30.34
13.41,30.92
13.41,31.02
13.43,31.02
13.38,30.82
13.43,30.82
13.33,30.73
13.38,30.63
13.38,30.53
13.41,30.44
13.41,30.34
13.49,30.24
13.41,30.24
13.41,30.05
13.41,30.05
13.43,29.95
13.51,29.76
13.41,29.66
13.33,29.66
13.41,29.57
13.41,29.47
13.41,29.37
13.38,29.18
13.41,29.18
13.30,22.90
13.33,22.80
13.33,22.80
13.25,22.90
13.30,22.80
13.33,22.80
13.33,23.00
13.33,23.00
13.28,22.90
13.30,22.90
13.22,22.90
13.33,22.90
13.33,22.70
13.33,22.80
13.33,22.80
13.33,22.70
13.38,22.80
13.33,22.90
13.25,22.90
13.22,22.80
13.30,23.00
13.28,22.70
13.38,22.80
13.43,22.80
13.33,22.90
13.25,22.90
13.30,22.80
13.30,22.90
13.28,22.70
13.51,22.80
13.33,22.70
13.41,22.70
13.38,22.80
13.30,22.70
13.41,22.59
13.41,22.80
13.33,22.80
13.22,22.80
13.38,22.80
13.30,22.90
13.30,22.90
13.38,22.90
13.43,22.90
13.33,23.00
13.30,23.00
13.25,22.80
13.30,22.70
13.33,22.90
13.30,23.00
13.30,23.00
13.30,23.00
13.33,23.00
13.30,22.90
13.20,22.90
13.33,22.90
13.30,23.00
13.22,22.90
13.33,23.00
13.33,22.80
13.43,22.90
13.30,22.90
13.30,22.90
13.25,23.00
13.38,22.80
13.41,22.90
13.33,22.80
13.28,22.80
13.30,23.00
13.30,22.90
13.30,22.70
13.28,22.70
13.30,22.90
13.28,22.80
13.30,23.00
13.33,22.90
13.28,22.90
13.33,22.90
13.22,22.90
13.30,23.00
13.38,22.80
13.35,23.00
13.22,23.00
13.22,22.90
13.30,23.00
13.30,23.00
13.30,22.90
13.22,23.00
13.30,23.00
13.30,23.00
13.38,20.39
13.35,21.03
13.35,21.13
13.33,21.13
13.33,21.24
13.35,22.80
13.33,22.39
13.35,22.70
13.38,23.00
13.38,22.70
13.33,22.90
13.35,22.90
13.41,23.00
13.38,23.11
13.35,22.90
13.38,23.00
13.38,23.00
13.30,22.90
13.38,23.00
13.41,23.00
13.38,22.90
13.30,22.70
13.30,24.53
13.33,26.13
13.33,27.32
13.33,28.59
13.33,29.28
13.35,30.05
13.33,30.63
13.33,31.11
13.25,31.02
13.33,30.92
13.30,30.92
13.41,30.73
13.33,30.63
13.33,30.53
13.33,30.44
13.28,30.24
13.43,30.15
13.28,29.95
13.28,29.86
13.33,29.76
13.33,29.76
13.35,29.57
13.35,29.47
13.30,29.37
13.33,29.18
13.30,29.08
13.33,28.98
13.30,28.98
13.38,28.89
13.28,28.79
13.33,28.59
13.25,28.59
13.30,28.50
13.33,28.40
13.35,28.30
13.35,28.20
13.28,28.20
13.25,28.01
13.33,28.01
13.33,27.91
13.33,27.81
13.30,27.62
13.38,27.62
13.28,27.62
13.30,27.52
13.22,27.52
13.33,27.42
13.33,27.42
13.30,27.32
13.30,27.22
13.33,27.22
13.35,27.12
13.28,27.02
13.25,26.93
13.30,26.93
13.28,26.93
13.38,26.73
13.35,26.63
13.17,26.63
13.41,26.53
13.35,26.43
13.33,26.33
13.41,26.33
13.30,22.18
13.33,22.18
13.33,22.18
13.33,22.28
13.33,24.23
13.30,26.23
13.33,27.62
13.30,28.69
13.30,29.57
13.30,30.24
13.33,30.53
13.33,30.82
13.33,30.73
13.35,30.63
13.33,30.53
13.30,30.44
13.30,30.34
13.28,30.15
13.33,19.22
13.33,30.05
13.30,29.66
13.30,30.53
13.33,31.21
13.30,31.69
13.30,31.69
13.30,31.69
13.30,31.50
13.33,31.30
13.30,31.21
13.33,31.11
13.33,31.02
13.30,30.82
13.30,30.73
13.30,30.63
13.30,30.44
13.30,30.34
13.30,30.24
13.30,30.15
13.30,30.05
13.33,29.95
13.33,29.86
13.30,29.76
13.30,29.66
13.30,29.57
13.33,29.47
13.30,29.37
13.33,29.37
13.30,29.28
13.30,29.08
13.33,28.79
13.30,28.69
13.33,28.50
13.33,28.40
13.33,28.30
13.33,28.30
13.30,28.20
13.33,28.20
13.33,28.01
13.33,28.01
13.30,27.91
13.30,27.81
13.30,27.81
13.51,27.71
13.51,27.71
13.38,27.81
13.35,27.81
13.51,27.91
13.35,27.91
13.30,27.52
13.30,27.81
13.33,27.62
13.30,27.71
13.30,27.62
13.30,27.62
13.30,27.32
13.30,27.32
13.33,27.22
13.30,27.32
13.30,26.03
13.30,25.54
13.30,26.93
13.30,25.74
13.30,25.74
13.30,25.64
13.33,25.54
13.33,25.44
13.30,25.93
13.28,25.83
13.28,25.74
13.30,25.74
13.30,25.74
13.30,25.34
13.30,25.13
13.30,25.13
13.30,25.13
13.30,25.24
13.30,25.03
13.30,24.93
13.33,24.93
13.30,24.93
13.30,24.83
13.30,24.83
13.30,24.73
13.30,24.73
13.33,24.73
13.30,24.73
13.30,24.63
13.30,24.63
13.30,24.53
13.30,24.53
13.30,24.43
13.30,24.73
13.30,24.53
13.30,24.43
13.30,24.53
13.28,24.63
13.33,24.63
13.28,24.53
13.30,24.53
13.33,24.43
13.30,24.23
13.30,24.33
13.30,24.33
13.30,24.53
13.33,24.43
13.33,24.33
13.30,24.33
13.33,24.33
13.30,24.33
13.22,24.43
13.30,24.23
13.33,24.13
13.30,24.02
13.33,24.02
13.30,23.82
13.30,23.72
13.30,23.72
13.30,23.92
13.33,23.92
13.35,23.92
13.35,23.92
13.30,23.92
13.30,23.82
13.30,23.82
13.30,23.72
13.30,23.52
13.30,23.52
13.30,23.41
13.30,23.62
13.30,23.41
13.33,23.31
13.30,23.31
13.33,23.11
13.33,22.90
13.30,22.80
13.33,23.00
13.30,22.90
13.33,23.11
13.28,23.21
13.33,23.31
13.33,23.31
13.33,23.21
13.30,23.41
13.30,23.31
13.30,23.31
13.30,23.31
13.30,23.21
13.30,23.21
13.30,23.21
13.30,23.11
13.30,23.11
13.30,23.21
13.30,23.21
13.30,23.11
13.28,22.90
13.30,22.90
13.30,22.90
13.30,22.90
13.30,22.80
13.28,22.59
13.33,22.49
13.30,22.39
13.30,22.28
13.30,22.28
13.30,22.07
13.30,22.28
13.30,22.28
13.30,22.18
13.30,22.18
13.30,22.07
13.30,22.18
13.33,22.07
13.30,22.07
13.30,22.07
13.33,21.97
13.30,21.97
13.28,21.87
13.30,21.76
13.33,21.76
13.33,21.66
13.33,21.87
13.30,21.97
13.33,21.97
13.30,21.97
13.30,21.97
13.33,22.07
13.30,21.87
13.33,21.87
13.30,21.87
13.28,21.76
13.30,21.97
13.33,21.76
13.30,21.66
13.30,21.76
13.30,21.76
13.30,21.76
13.33,21.76
13.30,21.66
13.33,21.66
13.30,21.87
13.30,22.28
13.30,22.28
13.33,22.39
13.30,22.59
13.30,22.59
13.30,22.70
13.33,22.59
13.33,22.59
13.30,22.70
13.33,22.70
13.33,22.59
13.30,22.59
13.30,22.70
13.30,22.70
13.33,22.59
13.30,22.70
13.35,22.70
13.33,22.59
13.30,22.59
13.30,22.59
13.33,22.59
13.25,22.59
13.30,22.59
13.30,22.70
13.30,22.59
13.33,22.59
13.33,22.59
13.28,22.59
13.30,22.70
13.30,22.59
13.33,22.59
13.30,22.59
13.33,22.59
13.30,22.70
13.30,22.59
13.30,22.59
13.28,22.49
13.33,22.49
13.33,22.59
13.30,22.59
13.33,22.49
13.33,22.49
13.33,22.49
13.30,22.49
13.33,22.49
13.30,22.49
13.35,22.49
13.33,22.49
13.33,22.49
13.33,22.49
13.28,22.39
13.28,22.39
13.30,22.49
13.30,22.39
13.30,22.39
13.33,22.39
13.30,22.39
13.30,22.39
13.30,22.39
13.33,22.39
13.33,22.39
13.33,22.39
13.30,22.28
13.25,22.39
13.30,22.39
13.33,22.28
13.30,22.28
13.33,22.28
13.30,22.28
13.30,22.39
13.33,22.28
13.30,22.28
13.30,22.28
13.35,22.28
13.30,22.28
13.33,22.28
13.28,22.39
13.33,22.39
13.28,22.39
13.33,22.39
13.30,22.39
13.30,22.28
13.30,22.39
13.30,22.39
13.30,22.28
13.30,22.28
13.30,22.28
13.30,22.28
13.33,21.76
13.33,21.87
13.33,21.87
13.33,21.87
13.30,21.87
13.33,21.76
13.33,22.49
13.30,23.21
13.30,24.33
13.30,26.53
13.30,27.81
13.30,28.79
13.33,29.37
13.30,30.24
13.33,30.82
13.30,30.24
13.35,30.34
13.33,29.57
13.30,29.37
13.33,29.37
13.30,28.98
13.33,28.69
13.33,28.89
13.30,28.79
13.28,28.69
13.30,28.79
13.33,28.69
13.33,28.69
13.33,28.59
13.30,28.50
13.30,28.79
13.33,28.69
13.30,28.30
13.33,28.01
13.30,27.81
13.30,27.62
13.33,27.42
13.33,27.22
13.30,27.02
13.33,27.02
13.33,26.73
13.33,26.83
13.33,26.73
13.30,26.53
13.33,26.53
13.33,26.43
13.30,26.33
13.33,27.02
13.33,26.13
13.33,26.13
13.33,26.03
13.30,25.93
13.30,25.93
13.30,25.83
13.28,25.74
13.33,25.74
13.35,25.54
13.30,25.44
13.33,25.93
13.33,25.64
13.33,25.54
13.33,25.34
13.33,25.03
13.33,24.73
13.30,24.83
13.30,25.03
13.30,25.54
13.33,24.83
13.33,25.44
13.33,25.13
13.33,24.43
13.30,24.02
